name,link,letter_name
Katrina Ligett,https://en.wikipedia.org/wiki/Katrina_Ligett,L
Ming C. Lin,https://en.wikipedia.org/wiki/Ming_C._Lin,L
Barbara Liskov,https://en.wikipedia.org/wiki/Barbara_Liskov,L
Joyce Currie Little,https://en.wikipedia.org/wiki/Joyce_Currie_Little,L
Kimber Lockhart,https://en.wikipedia.org/wiki/Kimber_Lockhart,L
Patricia D. Lopez,https://en.wikipedia.org/wiki/Patricia_D._Lopez,L
Janice Lourie,https://en.wikipedia.org/wiki/Janice_Lourie,L
Gillian Lovegrove,https://en.wikipedia.org/wiki/Gillian_Lovegrove,L
Nancy Lynch,https://en.wikipedia.org/wiki/Nancy_Lynch,L
<<<<<<< HEAD
Anna Lysyanskaya,https://en.wikipedia.org/wiki/Anna_Lysyanskaya,L
=======
>>>>>>> cf7a50e66e041e500208cf202a10257971e26d7b
Wendy Mackay,https://en.wikipedia.org/wiki/Wendy_Mackay,M
Pattie Maes,https://en.wikipedia.org/wiki/Pattie_Maes,M
Dahlia Malkhi,https://en.wikipedia.org/wiki/Dahlia_Malkhi,M
Jennifer Mankoff,https://en.wikipedia.org/wiki/Jennifer_Mankoff,M
Margaret Marrs,https://en.wikipedia.org/wiki/Margaret_Marrs,M
Brandeis Marshall,https://en.wikipedia.org/wiki/Brandeis_Marshall,M
C. Dianne Martin,https://en.wikipedia.org/wiki/C._Dianne_Martin,M
Margaret Martonosi,https://en.wikipedia.org/wiki/Margaret_Martonosi,M
Alexia Massalin,https://en.wikipedia.org/wiki/Alexia_Massalin,M
Maja Matarić,https://en.wikipedia.org/wiki/Maja_Matari%C4%87,M
Lori McCreary,https://en.wikipedia.org/wiki/Lori_McCreary,M
Catherine McGeoch,https://en.wikipedia.org/wiki/Catherine_McGeoch,M
Elaine M. McGraw,https://en.wikipedia.org/wiki/Elaine_M._McGraw,M
Kathleen McKeown,https://en.wikipedia.org/wiki/Kathleen_McKeown,M
Kathryn S. McKinley,https://en.wikipedia.org/wiki/Kathryn_S._McKinley,M
Diana McSherry,https://en.wikipedia.org/wiki/Diana_McSherry,M
Marlyn Meltzer,https://en.wikipedia.org/wiki/Marlyn_Meltzer,M
Rebecca Mercuri,https://en.wikipedia.org/wiki/Rebecca_Mercuri,M
Jill P. Mesirov,https://en.wikipedia.org/wiki/Jill_P._Mesirov,M
Miriah Meyer,https://en.wikipedia.org/wiki/Miriah_Meyer,M
<<<<<<< HEAD
=======
Jude Milhon,https://en.wikipedia.org/wiki/Jude_Milhon,M
>>>>>>> cf7a50e66e041e500208cf202a10257971e26d7b
